店铺名称	用户名	公司	经销商	联系人	联系电话	邮箱	地址
华联生活超市	18311169385	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	华联生活超市	18311169385		魏窑主街
超市	13681537365	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	超市	13681537365		魏窑市场西5号
世纪华联超市 	13651232082	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	世纪华联超市 	13651232082		魏窑主街
百佳来	15010825496	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	百佳来	15010825496		魏窑村
微利超市 	15321312006	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	微利超市 	15321312006		魏窑主街465公交站
好运来超市	13651258252	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	好运来超市	13651258252		魏窑市场西5号
魏窑超市	15010825496	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	魏窑超市	15010825496		魏窑村
冲乐超市 	13520285321	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	冲乐超市 	13520285321		西沙村
便利店 0796	13581804818	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	便利店 0796	13581804818		西沙村
世纪华联	13831290787	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	世纪华联	13831290787		西沙村
华美超市 	17710152458	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	华美超市 	17710152458		西沙村
世纪华联 	13831290787	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	世纪华联 	13831290787		西沙村
便民超市 	13716897483	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	便民超市 	13716897483		西沙村
五金日用百货 	15330025748	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	五金日用百货 	15330025748		西沙村
世纪物廉超市 	13661322673	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	世纪物廉超市 	13661322673		西沙村
超市 	15330025748	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	超市 	15330025748		西沙村
高堂烟酒超市 	17710169693	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	高堂烟酒超市 	17710169693		西沙村
家家福超市 	13522284243	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	家家福超市 	13522284243		西沙村
华联生活超市 	15726619493	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	华联生活超市 	15726619493		西沙村
新世纪华联生活超市	15720109801	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	新世纪华联生活超市	15720109801		西沙村
华熙生活超市	13426348537	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	华熙生活超市	13426348537		西沙村
世纪华联	15810980094	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	世纪华联	15810980094		西沙村
美廉超市	13120438780	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	美廉超市	13120438780		小辛庄主街
平价超市	15315633253	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	平价超市	15315633253		小辛庄主街
好日子生活超市 	13651355642	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	好日子生活超市 	13651355642		478车站斜对面
家合平价超市 	15010027570	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	家合平价超市 	15010027570		小辛庄主街
家家乐超市 	15300255508	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	家家乐超市 	15300255508		小辛庄主街
新世纪商城 	18811429972	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	新世纪商城 	18811429972		燕丹村主街燕城苑小区南
华联生活超市 	18633254172	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	华联生活超市 	18633254172		燕丹主街
便利店	15300084958	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	便利店	15300084958		立水桥
亿元超市	13391699538	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	亿元超市	13391699538		汤立路201号
18方超市 	18611955726	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	18方超市 	18611955726		立水桥
世纪华联	18610876275	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	世纪华联	18610876275		立水桥城铁
便利车	13521876706	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	便利车	13521876706		立水桥城铁b1口
烟酒超市	13716166860	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	烟酒超市	13716166860		汤立路
世纪华联	15300232853	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	世纪华联	15300232853		汤立路
世纪家家福	13366285626	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	世纪家家福	13366285626		平西府村
华联便超	18811013266	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	华联便超	18811013266		平西府村
世纪华联	17310188906	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	世纪华联	17310188906		平西府村
